Open,High,Low,Close,Adj Close,Volume
1447.40,1466.20,1445.05,1452.75,1447.32,6400245.00
1428.00,1445.50,1410.45,1435.60,1430.23,6922631.00
1451.00,1452.35,1428.30,1433.65,1428.29,5581641.00
1454.10,1467.00,1440.10,1457.80,1452.35,7103715.00
1434.90,1452.80,1430.30,1448.50,1443.08,8444823.00
1400.00,1432.50,1397.80,1426.40,1421.06,11604666.00
1369.90,1399.95,1363.05,1385.50,1380.32,14040626.00
1453.00,1453.25,1407.20,1411.65,1406.37,15886673.00
1479.00,1479.70,1440.00,1443.75,1438.35,10241756.00
1474.05,1494.40,1464.05,1479.85,1474.31,11313297.00
1508.60,1510.00,1463.60,1471.75,1466.24,11215313.00
1514.90,1524.45,1505.00,1506.55,1500.91,6120429.00
1527.00,1536.35,1518.55,1521.55,1515.86,6687633.00
1536.50,1541.95,1520.70,1526.85,1521.14,5142088.00
1544.00,1546.75,1531.10,1533.35,1527.61,4719245.00
1528.60,1545.85,1522.00,1533.90,1528.16,8650831.00
1609.00,1609.00,1526.40,1532.35,1526.62,14878868.00
1553.50,1584.95,1553.20,1581.00,1575.09,13469708.00
1529.00,1543.35,1528.00,1537.90,1532.15,5873662.00
1535.85,1539.90,1518.25,1523.85,1518.15,7231393.00
1540.00,1550.00,1521.85,1529.40,1523.68,7230788.00
1545.05,1558.70,1538.40,1543.70,1537.93,8358090.00
1551.90,1557.95,1539.65,1547.65,1541.86,5704686.00
1538.60,1550.00,1531.25,1548.00,1542.21,6849606.00
1515.00,1534.45,1510.00,1513.15,1507.49,7336561.00
1519.00,1534.50,1513.50,1524.60,1518.90,7627191.00
1520.00,1527.90,1498.00,1501.50,1495.88,11209343.00
1533.00,1541.65,1523.00,1537.15,1531.40,9593498.00
1512.00,1540.95,1512.00,1535.30,1529.56,8096561.00
1518.00,1527.10,1505.50,1509.60,1503.95,6402372.00
1542.00,1543.70,1508.05,1514.05,1508.39,10150467.00
1545.95,1547.65,1528.05,1544.20,1538.42,7828402.00
1527.00,1546.20,1521.30,1542.35,1536.58,8081591.00
1541.65,1552.95,1510.15,1515.40,1509.73,13605737.00
1568.90,1572.05,1542.50,1546.45,1540.67,8251144.00
1560.10,1577.55,1557.80,1571.40,1565.52,11478429.00
1615.00,1617.55,1596.10,1599.10,1593.12,9724619.00
1573.70,1614.90,1571.80,1609.95,1603.93,9375484.00
1563.00,1580.00,1562.00,1575.85,1569.96,6739582.00
1566.75,1579.00,1555.55,1562.70,1556.85,9291724.00
1592.00,1593.90,1564.35,1566.60,1560.74,5436951.00
1580.00,1590.00,1572.40,1582.90,1576.98,5791522.00
1570.25,1573.85,1556.65,1568.20,1562.33,4720977.00
1555.60,1574.50,1550.60,1562.40,1556.56,5652698.00
1572.05,1573.60,1554.15,1561.95,1556.11,4650906.00
1556.15,1577.40,1546.50,1572.60,1566.72,5779807.00
1553.00,1568.00,1541.10,1554.90,1549.08,5982129.00
1574.00,1579.75,1544.00,1550.85,1545.05,9117022.00
1573.00,1577.50,1533.75,1552.70,1546.89,9594828.00
1592.75,1594.00,1572.60,1578.90,1572.99,5938786.00
1600.00,1614.45,1577.00,1586.50,1580.57,14275186.00
1581.95,1581.95,1547.85,1551.15,1545.35,8484822.00
1572.65,1584.15,1563.95,1580.30,1574.39,6284885.00
1559.95,1575.50,1556.10,1569.85,1563.98,4408336.00
1568.10,1576.35,1556.00,1560.25,1554.41,16152137.00
1551.15,1564.80,1551.00,1561.55,1555.71,6924313.00
1542.10,1569.50,1537.60,1546.50,1540.71,10218978.00
1545.00,1556.00,1528.55,1537.60,1531.85,6810577.00
1555.05,1572.40,1543.20,1547.65,1541.86,19904164.00
1467.00,1514.90,1465.00,1509.75,1504.10,13795569.00
1472.65,1486.00,1455.40,1459.20,1453.74,6435097.00
1465.65,1486.80,1463.15,1470.85,1465.35,7173674.00
1476.00,1481.60,1455.80,1462.75,1457.28,6518339.00
1430.00,1475.90,1430.00,1472.30,1466.79,11532364.00
1439.10,1444.25,1422.55,1427.80,1422.46,5192423.00
1449.00,1459.65,1441.30,1445.50,1440.09,5494844.00
1435.00,1463.00,1432.20,1458.60,1453.14,6438749.00
1442.70,1446.45,1428.50,1434.90,1429.53,6686289.00
1463.10,1468.95,1441.00,1447.30,1441.89,5799318.00
1465.90,1471.00,1445.10,1457.65,1452.20,6429329.00
1455.00,1461.80,1441.00,1456.90,1451.45,6356579.00
1484.00,1489.65,1461.70,1464.35,1458.87,8898168.00
1480.00,1484.55,1460.30,1479.10,1473.57,7470723.00
1445.50,1480.00,1442.10,1467.05,1461.56,11780494.00
1441.10,1441.45,1411.25,1431.20,1425.85,6190013.00
1401.00,1441.40,1386.55,1436.45,1431.08,10351384.00
1416.30,1425.95,1383.15,1392.40,1387.19,8432964.00
1425.00,1436.85,1403.35,1414.15,1408.86,12703054.00
1404.00,1427.90,1398.70,1416.35,1411.05,12856410.00
1375.00,1399.00,1372.00,1396.50,1391.28,7332464.00
1369.90,1379.65,1363.70,1372.35,1367.22,8870701.00
1362.50,1370.00,1354.30,1364.15,1359.05,4422075.00
1364.95,1364.95,1350.85,1358.00,1352.92,6123412.00
1363.70,1365.60,1336.55,1352.60,1347.54,7587648.00
1325.00,1369.00,1321.00,1362.75,1357.65,16003744.00
1308.70,1329.95,1292.50,1324.75,1319.79,8040938.00
1308.10,1320.80,1301.70,1310.10,1305.20,4599818.00
1319.90,1328.60,1303.85,1308.10,1303.21,6853954.00
1286.00,1314.70,1281.30,1311.05,1306.15,6183107.00
1337.00,1342.00,1293.30,1304.90,1300.02,8192597.00
1310.00,1335.75,1305.55,1332.25,1327.27,11549746.00
1292.50,1315.00,1284.00,1309.05,1304.15,8712980.00
1292.00,1298.80,1283.50,1296.80,1291.95,8389212.00
1284.00,1295.00,1268.85,1279.55,1274.76,8316894.00
1243.60,1298.80,1242.75,1278.70,1273.92,15982067.00
1274.15,1281.00,1235.00,1239.20,1234.56,9879751.00
1187.95,1269.90,1174.30,1254.35,1249.66,22019674.00
1207.85,1209.70,1172.65,1179.05,1174.64,6293454.00
1204.95,1216.30,1197.20,1205.70,1201.19,6827281.00
